"Board: F8:F0:5:F7:4D:69","Recording: n1335_s6528_c1_mowalk_tb1","Started: 2018-10-29_20:14:00"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
937630,-1,142,-1,143,-1,143,-1,143,-1,143,0,51,0,51,-1,51,-2,51,-2,51,0,-95,0,-95,0,-95,0,-95,0,-95,35,937660,57237,0
937667,-2,144,-2,144,-2,144,-3,144,-3,145,-2,52,-2,52,-2,52,-3,52,-3,52,0,-95,0,-95,0,-95,0,-95,0,-95,35,937696,57270,0
937700,-3,145,-3,145,-3,145,-3,145,-3,145,-3,52,-3,52,-3,52,-3,52,-3,52,0,-95,0,-96,1,-96,1,-96,1,-96,35,937733,57307,0
937737,-3,145,-3,146,-3,146,-3,146,-2,146,-3,52,-3,52,-2,52,-2,53,-2,53,1,-96,1,-96,2,-96,2,-96,1,-96,35,937769,57343,0
937773,-2,146,-2,146,-1,146,-1,146,0,146,-2,53,-2,53,-1,53,-1,53,0,53,1,-96,1,-95,1,-95,1,-94,2,-94,35,937801,57377,0
937807,0,146,0,146,0,146,0,146,0,146,0,53,0,53,0,53,0,53,0,53,2,-94,2,-93,2,-93,2,-93,2,-92,35,937836,32,0
937840,0,146,1,146,1,146,1,146,2,146,0,53,1,53,1,53,1,53,2,53,2,-92,2,-91,2,-91,1,-90,2,-89,35,937876,72,0
937880,2,146,2,146,3,146,3,146,3,146,2,53,2,53,3,54,3,54,3,54,2,-89,2,-89,3,-88,4,-88,4,-88,35,937910,109,0
937916,5,146,5,146,6,145,6,145,5,144,2,54,2,54,2,54,2,54,2,54,2,-87,2,-87,0,-86,0,-85,-2,-83,35,937944,140,0
937948,5,144,5,144,4,144,3,143,3,143,2,54,2,54,2,55,1,55,1,55,-2,-83,-3,-82,-4,-81,-4,-80,-4,-80,35,937982,178,0
937986,2,143,2,143,2,143,2,142,3,142,0,55,0,55,0,55,0,56,0,56,-5,-81,-5,-81,-5,-81,-4,-83,-2,-84,35,938019,215,0
938023,3,142,3,141,2,141,2,140,1,140,0,56,0,56,0,56,0,56,0,56,-1,-84,-1,-84,0,-85,0,-85,0,-85,35,938051,249,0
938056,1,140,1,139,0,139,0,138,0,138,0,56,1,56,1,56,1,56,0,56,0,-85,0,-84,0,-84,0,-84,0,-84,35,938087,283,0
938091,0,138,0,137,-1,137,-2,137,-2,136,0,56,0,56,0,56,0,56,-1,56,0,-84,0,-85,0,-85,0,-85,0,-86,35,938126,322,0
938130,-2,136,-4,135,-4,135,-5,135,-5,134,-1,56,-2,56,-2,56,-2,56,-2,56,0,-86,0,-86,0,-87,0,-87,0,-88,35,938159,359,0
938166,-6,134,-6,134,-6,134,-6,133,-6,133,-3,56,-3,56,-3,56,-3,56,-3,56,0,-88,0,-89,0,-89,0,-90,0,-90,35,938194,390,0
938198,-6,133,-6,133,-5,133,-5,133,-5,133,-3,56,-3,56,-3,56,-3,56,-3,56,0,-90,0,-90,0,-90,0,-91,0,-91,35,938232,429,0
938236,-4,133,-3,133,-3,133,-2,133,-1,134,-2,56,-2,56,-2,56,-2,55,-2,55,0,-90,0,-90,0,-90,0,-90,0,-89,35,938269,466,0
938273,0,134,0,134,0,134,1,134,2,134,-1,55,-1,55,-1,55,-1,55,0,55,1,-89,1,-89,1,-88,0,-87,1,-87,35,938301,499,0
938306,2,135,4,135,4,135,5,135,6,136,0,54,1,54,1,54,2,54,3,53,1,-86,1,-86,1,-86,1,-85,1,-83,35,938336,532,0
938340,6,136,6,136,5,136,5,136,5,136,3,53,3,53,3,52,2,52,2,52,2,-83,2,-82,3,-81,3,-81,3,-81,35,938376,572,0
