"Board: F8:F0:5:E9:F:70","Recording: n1335_s6528_c1_mowalk_tb1","Started: 2018-10-29_20:14:00"
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
304695,0,91,-1,91,-1,90,-1,90,-1,89,0,70,0,70,0,70,0,70,0,69,0,22,0,22,0,23,0,23,0,24,34,304723,56731,0
304726,-1,89,-2,89,-2,88,-3,88,-3,88,0,69,0,69,0,69,0,69,0,69,0,24,0,24,0,24,0,24,0,24,34,304761,57302,0
305265,-4,92,-4,92,-4,92,-4,92,-4,93,0,67,0,67,0,67,0,67,0,67,-1,9,-1,9,-1,9,-1,9,-1,10,34,305298,57312,0
305301,-4,93,-4,93,-4,93,-3,93,-3,93,0,67,0,67,0,67,0,67,0,67,0,10,0,10,0,10,0,10,0,10,34,305329,57339,0
305367,-2,94,-2,94,-1,94,0,94,0,94,0,67,0,67,0,67,0,67,1,67,0,12,0,12,1,13,1,13,1,13,34,305405,40,0
305408,0,94,0,94,1,94,1,94,1,94,1,67,1,67,1,67,1,67,1,67,1,13,2,14,2,14,2,14,2,14,34,305438,77,0
305445,1,94,2,94,2,94,2,93,2,93,1,67,0,67,0,67,0,67,0,67,2,14,2,14,2,14,2,14,2,14,34,305473,108,0
305476,2,93,3,93,7,93,7,93,7,93,0,67,0,66,0,66,0,66,0,66,2,14,2,14,3,13,2,13,2,13,34,305511,147,0
305515,5,92,4,92,3,92,3,92,2,91,-1,65,-1,65,-2,65,-2,65,-2,64,1,13,0,13,0,13,0,13,0,13,34,305548,183,0
305551,2,91,2,91,3,90,3,90,3,90,-2,64,-2,64,-2,64,-1,64,-1,64,0,13,0,13,-1,14,0,14,0,14,34,305580,217,0
305585,3,89,3,89,3,89,2,89,1,88,-1,64,-1,64,-1,64,-1,64,-1,64,0,14,0,14,0,14,0,15,0,15,34,305615,250,0
305618,1,88,1,88,0,87,0,87,0,86,-1,64,-1,64,0,64,0,64,0,64,0,15,0,15,0,16,0,16,0,16,34,305655,290,0
305658,0,86,-1,86,-2,86,-2,86,-2,85,0,64,0,64,0,64,0,64,0,64,0,16,0,17,0,17,-1,17,-1,17,34,305688,327,0
305695,-3,85,-3,85,-3,85,-4,84,-5,84,0,64,0,63,0,63,0,63,0,63,-1,17,-1,17,-1,17,-1,17,-1,17,34,305724,359,0
305766,-6,84,-5,83,-5,83,-5,83,-5,83,0,63,0,63,0,63,0,63,0,63,-1,17,-1,16,-1,16,-1,16,-1,16,34,305798,433,0
